&#009;		9		Horizontal Tab
&#010;		10		Line Feed
&#013;		13		Carriage Return
&#032;		32		Space
&#033;		33		Exclamation Point
&quot;		34		Quotation Mark
&#035;		35		Hash Mark
&#036;		36		Dollar Sign
&#037;		37		Percent Sign
&amp;		38		Ampersand
&#039;		39		Apostrophe
&#040;		40		Left Parenthesis
&#041;		41		Right Parenthesis
&#042;		42		Asterisk
&#043;		43		Plus Sign
&#044;		44		Comma
&#045;		45		Hyphen
&#046;		46		Period
&#047;		47		Slash
&#048;		48		0
&#049;		49		1
&#050;		50		2
&#051;		51		3
&#052;		52		4
&#053;		53		5
&#054;		54		6
&#055;		55		7
&#056;		56		8
&#057;		57		9
&#058;		58		Colon
&#059;		59		Semicolon
&lt;		60		Less Than
&#061;		61		Equals Sign
&gt;		62		Greater Than
&#063;		63		Question Mark
&#064;		64		Commercial At Sign
&#065;		65		A
&#066;		66		B
&#067;		67		C
&#068;		68		D
&#069;		69		E
&#070;		70		F
&#071;		71		G
&#072;		72		H
&#073;		73		I
&#074;		74		J
&#075;		75		K
&#076;		76		L
&#077;		77		M
&#078;		78		N
&#079;		79		O
&#080;		80		P
&#081;		81		Q
&#082;		82		R
&#083;		83		S
&#084;		84		T
&#085;		85		U
&#086;		86		V
&#087;		87		W
&#088;		88		X
&#089;		89		Y
&#090;		90		Z
&#091;		91		Left Square Bracket
&#092;		92		Backslash
&#093;		93		Right Square Bracket
&#094;		94		Caret
&#095;		95		Underscore
&#096;		96		Grave Accent
&#097;		97		a
&#098;		98		b
&#099;		99		c
&#100;		100		d
&#101;		101		e
&#102;		102		f
&#103;		103		g
&#104;		104		h
&#105;		105		i
&#106;		106		j
&#107;		107		k
&#108;		108		l
&#109;		109		m
&#110;		110		n
&#111;		111		o
&#112;		112		p
&#113;		113		q
&#114;		114		r
&#115;		115		s
&#116;		116		t
&#117;		117		u
&#118;		118		v
&#119;		119		w
&#120;		120		x
&#121;		121		y
&#122;		122		z
&#123;		123		Left Curly Brace
&#124;		124		Vertical Bar
&#125;		125		Right Curly Brace
&#126;		126		Tilde
&#130;		130		UNDEFINED
&#131;		196		Florin
&#132;		211		Right Double Quote
&#133;		201		Ellipsis
&#134;		160		Dagger
&#135;		224		Double Dagger
&#136;		246		Circumflex
&#137;		228		Permil
&#138;		32		UNDEFINED                    UNSUPPORTED
&#139;		60		Less Than Sign
&#140;		206		Capital OE Ligature
&#145;		212		Left Single Quote
&#146;		213		Right Single Quote
&#147;		210		Left Double Quote
&#148;		211		Right Double Quote
&#149;		165		Bullet
&#150;		209		Em Dash
